Name0,Base spirit1,Fruit2,Syrup3,Extra4,Liqueur5,img6
Moscow Rule,Vodka,,Lime,Beer,,moscowRule.jpg
Scewdriver,Vodka,,,,Orange,screwdriver.jpeg
Espresso Martini,Vodka,,SimpleSyrup,,Coffee,espressoMartini.jpg
White Russian,Vodka,,,White cream,Coffee,whiteRussian.jpg
Lemon Drop,Vodka,Lemon,SimpleSyrup,,,lemonDropVodka.jpg
Collins Vodka,Vodka,Lemon,SimpleSyrup,Soda,,vodkaCollins.jpg
Gimlet,Gin,,SimpleSyrup Lime,,,gimlet.jpg
Last Word Martini,Gin,,Lime,,Chartreuse,lastWordMartini.jpg
The Better Decision,Gin,Lemon,SimpleSyrup,,Campari,theBetterDecision.jpeg
French75,Gin,Lemon,SimpleSyrup,,Orange,french75.jpg
InTheWeed,Gin,Lemon,Lime,,Chartreuse,inTheWeed.jpeg
Bramble,Gin,Lemon,SimpleSyrup,Cream,,bramble.jpg
Tom Collins,Gin,Lemon,SimpleSyrup,Soda,,tomCollins.jpg
Daiquiri,Rum,,SimpleSyrup Lime,,,daiquiri.jpg
Pina Colada,Rum,Lime Pineapple,Coconut Lime Mint,,,pinaColada.jpg
Jugnle Bird,Rum,Lime Pineapple,SimpleSyrup Lime,,Campari,jungleBird.jpg
Mojito,Rum,,SimpleSyrup Lime Mint,Soda,,mojito.jpg
Rum Punch,Rum,,Grenadine Lime,,Orange,rumPunch.jpeg
Cuba Libre,Rum,,Lime,Cola,,cubaLibre.jpg
Maitai,Rum,,Orgeat Lime,,Orange,maitai.jpeg
Hurricane,Rum,,Grenadine Lime,,Orange,hurricane.jpg
Zombie,Rum,Lemon Pineapple,Grenadine Lime,,Orange,zombie.jpeg
Vodka shot,Shot,,,,,vodkaShot.jpg
Gin shot,Shot,,,,,ginShot.jpg
Rum shot,Shot,,,,,rumShot.jpg
Tequila shot,Shot,,,,,tequilaShot.jpg
Whiskey shot,Shot,,,,,whiskeyShot.jpeg
